ConversionId,Multiplier,ConvertFromQty,ConvertFromUom,ConvertToQty,ConvertToUom
I-100,1.0,1350.0,g,1350.0,g
I-101,1.0,15.0,g,15.0,g
I-102,1.0,100.0,ml,100.0,ml
I-133,1.0,3000.0,ml,3000.0,ml
I-134,1.0,50.0,g,50.0,g
I-15,1.0,250.0,g,250.0,g
I-16,1.0,50.0,g,50.0,g
I-17,1.0,600.0,g,600.0,g
I-18,1.0,100.0,g,100.0,g
I-55,1.0,3250.0,g,3250.0,g
I-56,1.0,60.0,g,60.0,g
I-57,1.0,10.0,g,10.0,g
I-58,1.0,175.0,g,175.0,g
I-60,1.0,5.0,g,5.0,g
I-61,1.0,17.0,g,17.0,g
I-62,1.0,30.0,g,30.0,g
I-63,1.0,190.0,g,190.0,g
I-135,453.592,50.0,lb,22679.6,g
I-136,1.0,2100.0,g,2100.0,g
I-9,453.592,36.0,lb,16329.312,g
I-10,1.0,1000.0,g,1000.0,g
I-11,1.0,250.0,g,250.0,g
I-59,79.3787,0.5,BUNC,39.68935,g
